iter	Passed	Remaining
0	109	109677
1	111	55540
2	112	37386
3	113	28305
4	114	22842
5	115	19180
6	117	16631
7	118	14673
8	119	13135
9	120	11904
10	121	10904
11	122	10051
12	122	9332
13	123	8717
14	124	8201
15	125	7735
16	126	7323
17	127	6955
18	128	6625
19	129	6336
20	130	6069
21	131	5825
22	131	5600
23	132	5393
24	133	5202
25	134	5024
26	134	4856
27	135	4699
28	136	4556
29	136	4420
30	137	4292
31	137	4172
32	138	4059
33	139	3953
34	139	3856
35	140	3762
36	141	3672
37	141	3590
38	142	3508
39	142	3430
40	143	3355
41	143	3283
42	144	3215
43	145	3150
44	145	3088
45	146	3032
46	146	2976
47	147	2922
48	147	2869
49	148	2819
50	148	2771
51	149	2724
52	149	2679
53	150	2636
54	151	2595
55	151	2554
56	152	2519
57	152	2482
58	153	2446
59	153	2411
60	154	2377
61	155	2346
62	155	2315
63	156	2285
64	156	2255
65	157	2226
66	157	2197
67	158	2167
68	158	2141
69	159	2115
70	159	2090
71	160	2065
72	160	2041
73	161	2018
74	161	1995
75	162	1973
76	162	1951
77	163	1930
78	163	1910
79	164	1891
80	165	1873
81	165	1854
82	166	1835
83	166	1817
84	166	1797
85	167	1780
86	167	1761
87	168	1744
88	168	1728
89	169	1712
90	170	1698
91	170	1686
92	171	1671
93	171	1657
94	172	1642
95	172	1628
96	173	1614
97	173	1601
98	174	1588
99	175	1575
100	175	1563
101	175	1548
102	176	1536
103	177	1524
104	177	1513
105	178	1501
106	178	1489
107	179	1478
108	179	1467
109	180	1456
110	180	1446
111	181	1435
112	181	1428
113	182	1418
114	183	1408
115	183	1397
116	183	1388
117	184	1378
118	184	1368
119	185	1360
120	186	1351
121	186	1342
122	186	1332
123	187	1323
124	187	1315
125	188	1306
126	188	1298
127	189	1289
128	189	1281
129	190	1273
130	190	1266
131	191	1258
132	191	1251
133	192	1243
134	192	1236
135	193	1229
136	194	1222
137	194	1214
138	195	1208
139	195	1201
140	196	1194
141	196	1187
142	197	1180
143	197	1174
144	198	1168
145	198	1161
146	199	1155
147	199	1149
148	200	1143
149	200	1138
150	201	1132
151	202	1126
152	202	1121
153	203	1115
154	203	1109
155	204	1104
156	204	1098
157	205	1092
158	205	1087
159	206	1083
160	206	1077
161	207	1072
162	207	1067
163	208	1062
164	208	1057
165	209	1052
166	209	1047
167	210	1042
168	211	1037
169	211	1032
170	212	1028
171	212	1023
172	213	1019
173	213	1014
174	214	1009
175	214	1005
176	215	1001
177	215	996
178	216	992
179	216	987
180	217	982
181	217	978
182	218	974
183	218	970
184	219	965
185	219	961
186	220	957
187	220	953
188	221	949
189	221	945
190	222	941
191	222	937
192	223	933
193	224	931
194	224	927
195	225	924
196	225	920
197	226	916
198	226	912
199	227	909
200	227	905
201	228	901
202	228	898
203	229	894
204	230	893
205	230	889
206	231	886
207	231	882
208	232	879
209	232	875
210	233	872
211	233	869
212	234	865
213	234	862
214	235	859
215	236	856
216	236	853
217	237	850
218	237	847
219	238	843
220	238	840
221	239	837
222	239	834
223	240	831
224	240	828
225	241	825
226	241	823
227	242	820
228	242	817
229	243	814
230	243	811
231	244	808
232	244	805
233	245	803
234	245	800
235	246	797
236	246	794
237	247	792
238	247	789
239	248	786
240	249	784
241	249	781
242	250	778
243	250	776
244	251	773
245	251	771
246	252	768
247	252	765
248	253	765
249	254	762
250	254	760
251	255	757
252	255	755
253	256	752
254	256	750
255	257	747
256	257	745
257	258	743
258	259	741
259	259	738
260	260	736
261	260	734
262	261	732
263	261	730
264	262	727
265	262	725
266	263	723
267	263	720
268	264	718
269	265	718
270	266	716
271	266	713
272	267	711
273	267	709
274	268	707
275	268	705
276	269	702
277	269	700
278	270	698
279	271	696
280	271	694
281	272	692
282	272	690
283	273	688
284	273	686
285	274	684
286	274	682
287	275	680
288	275	678
289	276	676
290	277	675
291	277	673
292	278	671
293	278	669
294	279	667
295	279	665
296	280	663
297	280	661
298	281	659
299	281	657
300	282	655
301	282	653
302	283	651
303	283	650
304	284	648
305	284	646
306	285	644
307	285	642
308	286	640
309	286	638
310	287	636
311	288	635
312	288	633
313	289	631
314	289	629
315	290	628
316	290	626
317	291	624
318	291	623
319	292	621
320	292	619
321	293	617
322	293	615
323	294	614
324	294	612
325	295	610
326	296	609
327	296	607
328	297	605
329	297	604
330	298	602
331	298	600
332	299	599
333	299	597
334	300	595
335	300	594
336	301	593
337	302	591
338	302	590
339	303	588
340	303	586
341	304	585
342	305	584
343	305	582
344	306	581
345	306	579
346	307	578
347	307	576
348	308	575
349	308	573
350	309	571
351	309	570
352	310	568
353	310	567
354	311	565
355	311	563
356	312	562
357	312	560
358	313	559
359	313	557
360	314	556
361	314	554
362	315	553
363	315	551
364	316	550
365	316	548
366	317	547
367	317	545
368	319	545
369	319	544
370	320	543
371	320	541
372	321	540
373	322	539
374	322	537
375	323	536
376	323	535
377	324	534
378	325	532
379	325	531
380	326	529
381	326	528
382	327	527
383	327	525
384	328	524
385	328	522
386	329	521
387	329	520
388	330	519
389	331	517
390	331	516
391	332	514
392	332	513
393	333	512
394	333	510
395	334	509
396	334	508
397	335	506
398	335	505
399	336	504
400	336	503
401	337	501
402	337	500
403	338	499
404	338	497
405	339	496
406	339	495
407	340	494
408	340	492
409	341	491
410	342	490
411	342	488
412	343	487
413	343	486
414	344	485
415	344	483
416	345	482
417	345	481
418	346	480
419	346	478
420	347	478
421	348	477
422	349	476
423	349	475
424	350	473
425	350	472
426	351	471
427	351	470
428	352	468
429	352	467
430	353	466
431	353	465
432	354	464
433	354	462
434	355	461
435	356	460
436	356	459
437	357	458
438	357	456
439	358	455
440	358	454
441	359	453
442	359	452
443	360	451
444	360	450
445	361	448
446	361	447
447	362	446
448	363	445
449	363	444
450	364	443
451	364	442
452	365	441
453	366	440
454	366	439
455	367	438
456	367	437
457	368	435
458	368	434
459	369	433
460	369	432
461	370	431
462	370	430
463	371	429
464	372	428
465	372	426
466	373	425
467	373	424
468	374	423
469	374	422
470	375	421
471	375	420
472	376	419
473	376	418
474	377	417
475	378	416
476	378	415
477	379	414
478	379	413
479	380	411
480	380	410
481	381	409
482	381	408
483	382	407
484	383	407
485	384	406
486	384	405
487	385	404
488	385	403
489	386	402
490	386	400
491	387	399
492	387	398
493	388	397
494	389	397
495	390	396
496	390	395
497	391	394
498	392	393
499	393	393
500	394	392
501	396	393
502	397	392
503	398	391
504	398	390
505	399	389
506	400	388
507	400	387
508	401	386
509	401	385
510	402	384
511	402	383
512	403	382
513	403	381
514	404	380
515	404	379
516	405	378
517	405	377
518	406	376
519	407	375
520	407	374
521	408	373
522	408	372
523	409	371
524	409	370
525	410	369
526	410	368
527	411	367
528	411	366
529	412	365
530	412	364
531	413	363
532	413	362
533	414	361
534	415	360
535	415	359
536	416	358
537	416	357
538	417	356
539	417	355
